epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.9164,1.1273,4.50596,1.27796,0,0,0,0,1.00108,4.6033,1.18646,5.004e-05,5.004e-05,5.004e-05
2,168.462,1.12979,4.23455,1.29656,0.11111,0.01368,0.06239,0.05385,0.98531,4.49373,1.16271,0.000100823,0.000100823,0.000100823
3,253.081,1.04745,3.8346,1.24582,0.03559,0.21383,0.09038,0.06271,1.03417,4.10078,1.22529,0.000149515,0.000149515,0.000149515
4,337.768,1.07704,3.52229,1.27756,0.76545,0.06887,0.12473,0.08835,1.06708,3.75283,1.26581,0.000196115,0.000196115,0.000196115
5,423.315,1.09756,3.26753,1.27933,0.71376,0.12514,0.1624,0.11546,1.13547,3.41863,1.31559,0.000240623,0.000240623,0.000240623
6,506.6,1.10585,3.02966,1.30027,0.64894,0.17229,0.17887,0.13013,1.17333,3.22789,1.35413,0.000250478,0.000250478,0.000250478
7,589.099,1.0873,2.85383,1.2648,0.66283,0.18507,0.20716,0.14829,1.1669,3.12765,1.34758,0.000244974,0.000244974,0.000244974
8,1254.32,1.13393,2.79911,1.32176,0.54125,0.23118,0.22853,0.16237,1.13764,2.71637,1.33111,0.000239469,0.000239469,0.000239469
9,2539.11,1.09118,2.57118,1.26606,0.62492,0.23649,0.2456,0.17163,1.1483,2.60048,1.33967,0.000233965,0.000233965,0.000233965
10,2621.87,1.04649,2.51939,1.26321,0.60087,0.28976,0.26642,0.18855,1.15446,2.61903,1.32937,0.00022846,0.00022846,0.00022846
11,2704.99,1.01815,2.40926,1.24202,0.58711,0.30093,0.26324,0.18239,1.15869,2.65549,1.33747,0.000222956,0.000222956,0.000222956
12,6537.08,1.04901,2.23247,1.25031,0.56997,0.32824,0.2728,0.19544,1.15107,2.52541,1.3411,0.000217452,0.000217452,0.000217452
13,11210,1.00664,2.13482,1.20794,0.61783,0.30004,0.28185,0.2032,1.17158,2.48044,1.34188,0.000211947,0.000211947,0.000211947
14,16275.2,0.98553,2.06598,1.19895,0.57041,0.30323,0.30311,0.2185,1.15001,2.52585,1.32572,0.000206443,0.000206443,0.000206443
15,16359,0.94496,2.00032,1.20461,0.62255,0.35365,0.31469,0.22992,1.14628,2.41574,1.32196,0.000200938,0.000200938,0.000200938
16,16442.3,1.03713,2.16558,1.25543,0.69404,0.30094,0.31059,0.2203,1.17762,2.44409,1.34151,0.000195434,0.000195434,0.000195434
17,16599.6,0.95157,2.01865,1.21504,0.66288,0.31432,0.30725,0.21741,1.18608,2.40381,1.3433,0.00018993,0.00018993,0.00018993
18,16683,0.92436,1.98748,1.19411,0.66938,0.33875,0.31669,0.2167,1.17891,2.30241,1.33545,0.000184425,0.000184425,0.000184425
19,16766.8,0.94757,1.94036,1.18332,0.71672,0.32346,0.34686,0.23628,1.16643,2.30343,1.33557,0.000178921,0.000178921,0.000178921
20,16850.3,0.92313,1.91065,1.17222,0.69043,0.33556,0.33937,0.23381,1.18222,2.34335,1.3341,0.000173416,0.000173416,0.000173416
21,16933.6,0.96871,1.922,1.21536,0.62334,0.40673,0.32479,0.22445,1.18339,2.37213,1.31937,0.000167912,0.000167912,0.000167912
22,17017.9,0.92067,1.84947,1.16091,0.60075,0.40083,0.33066,0.23188,1.13175,2.31567,1.27774,0.000162408,0.000162408,0.000162408
23,17101.1,0.90351,1.84183,1.16109,0.56671,0.33944,0.34635,0.24444,1.13958,2.37324,1.30555,0.000156903,0.000156903,0.000156903
24,17184.1,0.88812,1.76969,1.1604,0.60464,0.35093,0.34676,0.24367,1.13353,2.31925,1.29458,0.000151399,0.000151399,0.000151399
25,17267.2,0.88191,1.74713,1.1523,0.58413,0.37869,0.34956,0.24565,1.16121,2.32612,1.30842,0.000145894,0.000145894,0.000145894
26,17350.7,0.86766,1.74684,1.13758,0.57963,0.36426,0.35529,0.25387,1.17617,2.25335,1.32595,0.00014039,0.00014039,0.00014039
27,17434.6,0.88877,1.68577,1.159,0.47924,0.38885,0.36989,0.26419,1.19241,2.26051,1.3249,0.000134886,0.000134886,0.000134886
28,17518.7,0.871,1.6657,1.13926,0.48769,0.42123,0.3609,0.25525,1.16946,2.27754,1.32622,0.000129381,0.000129381,0.000129381
29,17602.8,0.88115,1.65193,1.14852,0.56367,0.39273,0.37999,0.27064,1.14788,2.24787,1.31762,0.000123877,0.000123877,0.000123877
30,17687,0.81706,1.59789,1.09357,0.56004,0.41571,0.38033,0.27072,1.14712,2.2186,1.31906,0.000118372,0.000118372,0.000118372
31,17771,0.90842,1.72563,1.17538,0.55752,0.40848,0.37897,0.26822,1.18316,2.29179,1.32986,0.000112868,0.000112868,0.000112868
32,17855.2,0.85995,1.73065,1.13633,0.57397,0.41341,0.39048,0.27945,1.19744,2.33101,1.34281,0.000107364,0.000107364,0.000107364
33,17939.2,0.80835,1.51691,1.09221,0.50911,0.49021,0.39812,0.28479,1.19275,2.25763,1.35509,0.000101859,0.000101859,0.000101859
34,18023.2,0.8121,1.47892,1.09414,0.70221,0.41079,0.42464,0.31156,1.18246,2.18079,1.34351,9.63548e-05,9.63548e-05,9.63548e-05
35,18107.4,0.8413,1.54993,1.10165,0.68894,0.41667,0.42378,0.30488,1.1946,2.17388,1.35099,9.08504e-05,9.08504e-05,9.08504e-05
36,18191.7,0.91214,1.67402,1.19877,0.5156,0.48716,0.41445,0.29383,1.18567,2.21772,1.34955,8.5346e-05,8.5346e-05,8.5346e-05
37,18275.9,0.8321,1.58509,1.11017,0.50687,0.48134,0.42357,0.29789,1.19051,2.20359,1.34934,7.98416e-05,7.98416e-05,7.98416e-05
38,18360.1,0.81612,1.47154,1.09164,0.60064,0.44942,0.41647,0.29995,1.18819,2.18164,1.34953,7.43372e-05,7.43372e-05,7.43372e-05
39,18444.3,0.77212,1.39914,1.07675,0.53807,0.47383,0.41932,0.30277,1.1841,2.16195,1.34822,6.88328e-05,6.88328e-05,6.88328e-05
40,18528.8,0.82132,1.45705,1.09401,0.65781,0.45668,0.4279,0.30979,1.17645,2.15774,1.34267,6.33284e-05,6.33284e-05,6.33284e-05
41,18612.5,0.74516,1.40993,1.07347,0.66847,0.47023,0.42768,0.31035,1.19966,2.26226,1.34882,5.7824e-05,5.7824e-05,5.7824e-05
42,18696.4,0.69452,1.42545,1.04034,0.60019,0.38991,0.41037,0.29417,1.2052,2.44861,1.36374,5.23196e-05,5.23196e-05,5.23196e-05
43,18780.2,0.68802,1.40707,1.03864,0.58558,0.44856,0.42392,0.30491,1.18255,2.31135,1.34412,4.68152e-05,4.68152e-05,4.68152e-05
44,18863.9,0.70826,1.40654,1.03844,0.71802,0.36267,0.4222,0.30363,1.18219,2.17356,1.33983,4.13108e-05,4.13108e-05,4.13108e-05
45,18947.6,0.64223,1.9739,0.96757,0.71752,0.37562,0.4219,0.30297,1.17036,2.14851,1.33508,3.58064e-05,3.58064e-05,3.58064e-05
46,19030.9,0.67955,1.34422,1.02359,0.71602,0.42105,0.44025,0.31145,1.17555,2.1902,1.33437,3.0302e-05,3.0302e-05,3.0302e-05
47,19114.3,0.706,1.31364,1.02251,0.68082,0.41635,0.44005,0.31284,1.17325,2.19241,1.32834,2.47976e-05,2.47976e-05,2.47976e-05
48,19198.3,0.66195,1.30184,1.01123,0.6773,0.42427,0.44425,0.31373,1.17243,2.17271,1.32439,1.92932e-05,1.92932e-05,1.92932e-05
49,19282.2,0.68648,1.29564,1.01048,0.72385,0.40924,0.4481,0.31939,1.17444,2.15694,1.32579,1.37888e-05,1.37888e-05,1.37888e-05
50,19366.2,0.64258,1.23586,0.98818,0.72579,0.40693,0.43845,0.31283,1.16936,2.15451,1.32495,8.2844e-06,8.2844e-06,8.2844e-06
